PO_ID,Supplier_ID,Product_Category,HS_Code,PO_Date,Quantity,Unit_Cost_USD,Incoterm,Freight_Mode,Promised_Delivery_Date,Actual_Delivery_Date,Customs_Clearance_Days,Defect_Flag,PO_Status,Is_First_Occurrence,Lead_Time_Days,On_Time_Flag,Country,Region,Base_Effective_Rate,Base_Spend_USD,Landed_Cost_Per_Unit,Landed_Spend_USD,Tariff_Dollars,PO_Year_Month
PO-1315,SUP-002,Network Switches,8517.62,2025-02-01,2,3382.27,CIF,Truck,2025-02-19,2025-02-17,4,N,Delivered,1,16,1.0,Mexico,Nearshore,0.0,6764.54,3382.27,6764.54,0.0,2025-02
PO-1053,SUP-003,GPU Servers,8471.5,2025-02-02,5,13695.54,EXW,Ocean,2025-03-10,2025-03-09,7,N,Delivered,1,35,1.0,China,Offshore,0.35,68477.70000000001,18488.979000000003,92444.89500000002,23967.195000000007,2025-02
PO-1120,SUP-002,GPU Servers,8471.5,2025-02-04,10,19644.04,CIF,Truck,2025-02-18,2025-02-18,2,N,Delivered,1,14,1.0,Mexico,Nearshore,0.0,196440.40000000002,19644.04,196440.40000000002,0.0,2025-02
PO-1308,SUP-003,PDU / MEP Equipment,8537.1,2025-02-06,25,1788.42,EXW,Ocean,2025-03-06,2025-04-05,10,N,Delivered,1,58,0.0,China,Offshore,0.35,44710.5,2414.367,60359.175,15648.675000000003,2025-02
PO-1233,SUP-003,GPU Servers,8471.5,2025-02-07,16,13522.0,EXW,Ocean,2025-03-08,2025-03-07,5,N,Delivered,1,28,1.0,China,Offshore,0.35,216352.0,18254.7,292075.2,75723.20000000001,2025-02
PO-1210,SUP-003,Network Switches,8517.62,2025-02-07,5,1984.45,CIF,Air,2025-03-12,2025-03-10,8,N,Delivered,1,31,1.0,China,Offshore,0.35,9922.25,2679.0075,13395.0375,3472.7875000000004,2025-02
PO-1079,SUP-003,GPU Servers,8471.5,2025-02-12,10,13636.96,FOB,Ocean,2025-03-18,2025-03-17,11,N,Delivered,1,33,1.0,China,Offshore,0.35,136369.59999999998,18409.896,184098.96000000002,47729.360000000044,2025-02
PO-1198,SUP-003,Network Switches,8517.62,2025-02-13,40,2827.33,FOB,Air,2025-03-22,2025-03-22,10,N,Delivered,1,37,1.0,China,Offshore,0.35,113093.2,3816.8955,152675.82,39582.62000000001,2025-02
PO-1097,SUP-003,GPU Servers,8471.5,2025-02-15,2,13876.49,CIF,Ocean,2025-03-25,2025-03-24,4,N,Delivered,1,37,1.0,China,Offshore,0.35,27752.98,18733.2615,37466.523,9713.543000000001,2025-02
PO-1266,SUP-003,Network Switches,8517.62,2025-02-17,25,2165.52,FOB,Ocean,2025-03-18,2025-04-17,6,N,Delivered,1,59,0.0,China,Offshore,0.35,54138.0,2923.452,73086.3,18948.300000000003,2025-02
PO-1031,SUP-003,Network Switches,8517.62,2025-02-20,10,3380.33,FOB,Air,2025-03-22,2025-03-20,11,N,Delivered,1,28,1.0,China,Offshore,0.35,33803.3,4563.4455,45634.455,11831.154999999999,2025-02
PO-1275,SUP-003,PDU / MEP Equipment,8537.1,2025-02-22,2,2297.91,EXW,Air,2025-03-26,2025-03-25,10,N,Delivered,1,31,1.0,China,Offshore,0.35,4595.82,3102.1785,6204.357,1608.5370000000003,2025-02
PO-1118,SUP-002,GPU Servers,8471.5,2025-02-27,10,,FOB,Truck,2025-03-17,2025-04-06,4,N,Delivered,1,38,0.0,Mexico,Nearshore,0.0,,,,,2025-02
PO-1019,SUP-002,GPU Servers,8471.5,2025-03-02,4,21292.19,CIF,Truck,2025-03-15,2025-03-15,2,N,Delivered,1,13,1.0,Mexico,Nearshore,0.0,85168.76,21292.19,85168.76,0.0,2025-03
PO-1133,SUP-003,Network Switches,8517.62,2025-03-04,10,1953.91,EXW,Ocean,2025-04-04,2025-04-02,8,N,Delivered,1,29,1.0,China,Offshore,0.35,19539.100000000002,2637.7785000000003,26377.785000000003,6838.685000000001,2025-03
PO-1290,SUP-003,PDU / MEP Equipment,8537.1,2025-03-06,4,2104.21,CIF,Ocean,2025-04-09,2025-04-08,7,N,Delivered,1,33,1.0,China,Offshore,0.35,8416.84,2840.6835,11362.734,2945.8940000000002,2025-03
PO-1270,SUP-003,Network Switches,8517.62,2025-03-07,5,1958.97,CIF,Air,2025-04-27,2025-05-07,6,N,Delivered,1,61,0.0,China,Offshore,0.35,9794.85,2644.6095,13223.0475,3428.1975,2025-03
PO-1228,SUP-003,GPU Servers,8471.5,2025-03-07,2,17172.45,FOB,Ocean,2025-04-01,2025-03-30,6,N,Delivered,1,23,1.0,China,Offshore,0.35,34344.9,23182.807500000003,46365.615000000005,12020.715000000004,2025-03
PO-1112,SUP-003,PDU / MEP Equipment,8537.1,2025-03-09,16,1418.55,FOB,Air,2025-04-09,2025-05-06,4,N,Delivered,1,58,0.0,China,Offshore,0.35,22696.8,1915.0425,30640.68,7943.880000000001,2025-03
PO-1206,SUP-003,PDU / MEP Equipment,8537.1,2025-03-10,8,2332.58,EXW,Ocean,2025-04-06,2025-05-10,8,N,Delivered,1,61,0.0,China,Offshore,0.35,18660.64,3148.983,25191.864,6531.224000000002,2025-03
PO-1156,SUP-003,PDU / MEP Equipment,8537.1,2025-03-11,2,1969.01,EXW,Ocean,2025-04-17,2025-05-18,3,N,Delivered,1,68,0.0,China,Offshore,0.35,3938.02,2658.1635,5316.327,1378.3070000000002,2025-03
PO-1016,SUP-001,GPU Servers,8471.5,2025-03-12,25,22605.4,FOB,Truck,2025-03-22,2025-03-22,0,N,Delivered,1,10,1.0,United States,Domestic,0.0,565135.0,22605.4,565135.0,0.0,2025-03
PO-1221,SUP-002,Network Switches,8517.62,2025-03-21,25,4992.43,FOB,Ocean,2025-04-04,2025-04-04,3,N,Delivered,1,14,1.0,Mexico,Nearshore,0.0,124810.75,4992.43,124810.75,0.0,2025-03
PO-1044,SUP-001,PDU / MEP Equipment,8537.1,2025-03-21,40,3193.19,DDP,Air,2025-04-01,2025-04-01,1,N,Delivered,1,11,1.0,United States,Domestic,0.0,127727.6,3193.19,127727.6,0.0,2025-03
PO-1303,SUP-001,PDU / MEP Equipment,8537.1,2025-03-23,16,3844.46,FOB,Truck,2025-04-01,2025-03-30,1,N,Delivered,1,7,1.0,United States,Domestic,0.0,61511.36,3844.46,61511.36,0.0,2025-03
PO-1310,SUP-002,GPU Servers,8471.5,2025-03-23,8,16843.09,CIF,Truck,2025-04-03,2025-04-01,1,N,Delivered,1,9,1.0,Mexico,Nearshore,0.0,134744.72,16843.09,134744.72,0.0,2025-03
PO-1058,SUP-003,PDU / MEP Equipment,8537.1,2025-03-24,8,1408.34,FOB,Ocean,2025-04-29,2025-04-29,12,N,Delivered,1,36,1.0,China,Offshore,0.35,11266.72,1901.259,15210.072,3943.3520000000008,2025-03
PO-1130,SUP-002,Network Switches,8517.62,2025-03-25,25,4969.01,CIF,Ocean,2025-04-15,2025-04-13,2,N,Delivered,1,19,1.0,Mexico,Nearshore,0.0,124225.25,4969.01,124225.25,0.0,2025-03
PO-1236,SUP-002,GPU Servers,8471.5,2025-03-25,8,18522.99,CIF,Ocean,2025-04-11,2025-04-11,4,N,Delivered,1,17,1.0,Mexico,Nearshore,0.0,148183.92,18522.99,148183.92,0.0,2025-03
PO-1232,SUP-001,PDU / MEP Equipment,8537.1,2025-03-27,20,4075.82,FOB,Air,2025-04-11,2025-04-10,0,N,Delivered,1,14,1.0,United States,Domestic,0.0,81516.40000000001,4075.82,81516.40000000001,0.0,2025-03
PO-1004,SUP-003,Network Switches,8517.62,2025-03-27,40,1930.88,FOB,Ocean,2025-05-14,2025-05-14,4,N,Delivered,1,48,1.0,China,Offshore,0.35,77235.20000000001,2606.688,104267.52,27032.319999999992,2025-03
PO-1237,SUP-003,PDU / MEP Equipment,8537.1,2025-03-27,2,1728.09,EXW,Ocean,2025-05-11,2025-05-10,8,N,Delivered,1,44,1.0,China,Offshore,0.35,3456.18,2332.9215,4665.843,1209.663,2025-03
PO-1123,SUP-001,GPU Servers,8471.5,2025-03-30,16,22944.61,DDP,Air,2025-04-07,2025-04-07,1,N,Delivered,1,8,1.0,United States,Domestic,0.0,367113.76,22944.61,367113.76,0.0,2025-03
PO-1332,SUP-001,PDU / MEP Equipment,8537.1,2025-03-30,10,3079.09,DDP,Air,2025-04-04,2025-04-02,1,N,Delivered,1,3,1.0,United States,Domestic,0.0,30790.9,3079.09,30790.9,0.0,2025-03
PO-1146,SUP-003,Network Switches,8517.62,2025-04-01,20,2513.43,EXW,Air,2025-05-09,2025-05-28,4,N,Delivered,1,57,0.0,China,Offshore,0.35,50268.6,3393.1305,67862.61,17594.010000000002,2025-04
PO-1136,SUP-003,Network Switches,8517.62,2025-04-02,2,2090.59,FOB,Air,2025-05-01,2025-04-29,11,N,Delivered,1,27,1.0,China,Offshore,0.35,4181.18,2822.2965000000004,5644.593000000001,1463.4130000000005,2025-04
PO-1251,SUP-002,GPU Servers,8471.5,2025-04-03,12,,FOB,Ocean,2025-04-26,2025-04-24,3,N,Delivered,1,21,1.0,Mexico,Nearshore,0.0,,,,,2025-04
PO-1239,SUP-001,PDU / MEP Equipment,8537.1,2025-04-03,8,3995.05,FOB,Air,2025-04-15,2025-04-14,0,N,Delivered,1,11,1.0,United States,Domestic,0.0,31960.4,3995.05,31960.4,0.0,2025-04
PO-1063,SUP-002,Network Switches,8517.62,2025-04-03,20,4576.34,FOB,Ocean,2025-04-22,2025-04-21,4,N,Delivered,1,18,1.0,Mexico,Nearshore,0.0,91526.8,4576.34,91526.8,0.0,2025-04
PO-1014,SUP-001,GPU Servers,8471.5,2025-04-03,25,22145.27,FOB,Air,2025-04-13,2025-04-11,0,N,Delivered,1,8,1.0,United States,Domestic,0.0,553631.75,22145.27,553631.75,0.0,2025-04
PO-1331,SUP-002,GPU Servers,8471.5,2025-04-05,40,20772.96,FOB,Truck,2025-04-21,2025-04-21,2,N,Delivered,1,16,1.0,Mexico,Nearshore,0.0,830918.3999999999,20772.96,830918.3999999999,0.0,2025-04
PO-1134,SUP-003,PDU / MEP Equipment,8537.1,2025-04-08,16,1743.85,CIF,Ocean,2025-06-01,2025-06-01,10,N,Delivered,1,54,1.0,China,Offshore,0.35,27901.6,2354.1975,37667.16,9765.560000000005,2025-04
PO-1090,SUP-003,GPU Servers,8471.5,2025-04-08,4,17058.01,CIF,Air,2025-05-16,2025-05-14,3,N,Delivered,1,36,1.0,China,Offshore,0.35,68232.04,23028.3135,92113.254,23881.214000000007,2025-04
PO-1082,SUP-002,GPU Servers,8471.5,2025-04-11,20,21378.28,FOB,Ocean,2025-04-25,2025-04-23,3,N,Delivered,1,12,1.0,Mexico,Nearshore,0.0,427565.6,21378.28,427565.6,0.0,2025-04
PO-1140,SUP-003,GPU Servers,8471.5,2025-04-11,25,15395.05,FOB,Air,2025-05-15,2025-05-14,5,N,Delivered,1,33,1.0,China,Offshore,0.35,384876.25,20783.3175,519582.9375,134706.6875,2025-04
PO-1064,SUP-002,Network Switches,8517.62,2025-04-11,8,5121.14,CIF,Ocean,2025-04-30,2025-04-29,3,N,Delivered,1,18,1.0,Mexico,Nearshore,0.0,40969.12,5121.14,40969.12,0.0,2025-04
PO-1117,SUP-001,GPU Servers,8471.5,2025-04-11,12,20401.53,FOB,Air,2025-04-18,2025-04-18,0,N,Delivered,1,7,1.0,United States,Domestic,0.0,244818.36,20401.53,244818.36,0.0,2025-04
PO-1242,SUP-001,PDU / MEP Equipment,8537.1,2025-04-11,16,2634.42,DDP,Air,2025-04-23,2025-04-22,0,Y,Delivered,1,11,1.0,United States,Domestic,0.0,42150.72,2634.42,42150.72,0.0,2025-04
PO-1001,SUP-002,Network Switches,8517.62,2025-04-11,40,4357.18,FOB,Ocean,2025-04-28,2025-04-28,2,Y,Delivered,1,17,1.0,Mexico,Nearshore,0.0,174287.2,4357.18,174287.2,0.0,2025-04
PO-1043,SUP-002,GPU Servers,8471.5,2025-04-11,10,19343.15,FOB,Truck,2025-04-26,2025-04-24,1,N,Delivered,1,13,1.0,Mexico,Nearshore,0.0,193431.5,19343.15,193431.5,0.0,2025-04
PO-1021,SUP-001,GPU Servers,8471.5,2025-04-11,5,21620.41,DDP,Truck,2025-04-19,2025-04-27,1,N,Delivered,1,16,0.0,United States,Domestic,0.0,108102.05,21620.41,108102.05,0.0,2025-04
PO-1003,SUP-001,PDU / MEP Equipment,8537.1,2025-04-15,40,3845.73,FOB,Air,2025-04-26,2025-04-25,0,N,Delivered,1,10,1.0,United States,Domestic,0.0,153829.2,3845.73,153829.2,0.0,2025-04
PO-1282,SUP-003,PDU / MEP Equipment,8537.1,2025-04-18,40,2039.14,FOB,Air,2025-05-20,2025-05-18,8,N,Delivered,1,30,1.0,China,Offshore,0.35,81565.6,2752.8390000000004,110113.56000000001,28547.960000000006,2025-04
PO-1280,SUP-003,PDU / MEP Equipment,8537.1,2025-04-21,5,2014.01,EXW,Ocean,2025-05-30,2025-05-29,4,N,Delivered,1,38,1.0,China,Offshore,0.35,10070.05,2718.9135,13594.567500000001,3524.5175000000017,2025-04
PO-1252,SUP-003,Network Switches,8517.62,2025-04-24,8,2488.37,CIF,Ocean,2025-06-06,2025-06-05,10,N,Delivered,1,42,1.0,China,Offshore,0.35,19906.96,3359.2995,26874.396,6967.4360000000015,2025-04
PO-1231,SUP-003,PDU / MEP Equipment,8537.1,2025-04-25,5,2439.28,CIF,Air,2025-06-14,2025-07-19,8,N,Delivered,1,85,0.0,China,Offshore,0.35,12196.400000000001,3293.0280000000007,16465.140000000003,4268.740000000002,2025-04
PO-1045,SUP-001,GPU Servers,8471.5,2025-04-25,5,21065.25,DDP,Truck,2025-05-11,2025-05-09,0,N,Delivered,1,14,1.0,United States,Domestic,0.0,105326.25,21065.25,105326.25,0.0,2025-04
PO-1305,SUP-003,PDU / MEP Equipment,8537.1,2025-04-27,20,2202.37,FOB,Ocean,2025-06-06,2025-06-04,11,N,Delivered,1,38,1.0,China,Offshore,0.35,44047.399999999994,2973.1995,59463.990000000005,15416.590000000011,2025-04
PO-1011,SUP-003,PDU / MEP Equipment,8537.1,2025-05-03,10,1839.63,FOB,Ocean,2025-06-08,2025-07-14,7,N,Delivered,1,72,0.0,China,Offshore,0.35,18396.300000000003,2483.5005,24835.005,6438.704999999998,2025-05
PO-1207,SUP-003,Network Switches,8517.62,2025-05-05,4,2737.61,FOB,Ocean,2025-06-06,2025-07-09,10,N,Delivered,1,65,0.0,China,Offshore,0.35,10950.44,3695.7735000000002,14783.094000000001,3832.6540000000005,2025-05
PO-1279,SUP-001,PDU / MEP Equipment,8537.1,2025-05-09,5,3620.19,FOB,Air,2025-05-25,2025-06-08,0,N,Delivered,1,30,0.0,United States,Domestic,0.0,18100.95,3620.19,18100.95,0.0,2025-05
PO-1309,SUP-001,GPU Servers,8471.5,2025-05-10,5,21052.62,DDP,Air,2025-05-23,2025-05-21,0,N,Delivered,1,11,1.0,United States,Domestic,0.0,105263.09999999999,21052.62,105263.09999999999,0.0,2025-05
PO-1178,SUP-002,GPU Servers,8471.5,2025-05-11,5,20403.44,CIF,Ocean,2025-05-25,2025-05-23,4,N,Delivered,1,12,1.0,Mexico,Nearshore,0.0,102017.2,20403.44,102017.2,0.0,2025-05
PO-1311,SUP-003,Network Switches,8517.62,2025-05-11,2,2815.93,CIF,Air,2025-06-14,2025-06-13,9,N,Delivered,1,33,1.0,China,Offshore,0.35,5631.86,3801.5055,7603.011,1971.1510000000007,2025-05
PO-1056,SUP-003,PDU / MEP Equipment,8537.1,2025-05-15,40,1673.52,FOB,Air,2025-06-11,2025-06-09,8,N,Delivered,1,25,1.0,China,Offshore,0.35,66940.8,2259.252,90370.08,23429.28,2025-05
PO-1212,SUP-001,PDU / MEP Equipment,8537.1,2025-05-16,2,3617.49,DDP,Air,2025-05-28,2025-05-26,1,N,Delivered,1,10,1.0,United States,Domestic,0.0,7234.98,3617.49,7234.98,0.0,2025-05
PO-1171,SUP-002,GPU Servers,8471.5,2025-05-17,40,21269.96,FOB,Ocean,2025-06-06,2025-06-24,1,N,Delivered,1,38,0.0,Mexico,Nearshore,0.0,850798.3999999999,21269.96,850798.3999999999,0.0,2025-05
PO-1109,SUP-003,PDU / MEP Equipment,8537.1,2025-05-19,4,1429.18,EXW,Ocean,2025-06-14,2025-06-12,3,N,Delivered,1,24,1.0,China,Offshore,0.35,5716.72,1929.3930000000003,7717.572000000001,2000.8520000000008,2025-05
PO-1142,SUP-003,GPU Servers,8471.5,2025-05-20,5,16616.89,CIF,Ocean,2025-06-04,2025-06-02,10,N,Delivered,1,13,1.0,China,Offshore,0.35,83084.45,22432.8015,112164.0075,29079.55750000001,2025-05
PO-1241,SUP-003,PDU / MEP Equipment,8537.1,2025-05-21,20,1554.99,CIF,Air,2025-06-29,2025-06-28,4,N,Delivered,1,38,1.0,China,Offshore,0.35,31099.8,2099.2365,41984.729999999996,10884.929999999997,2025-05
PO-1155,SUP-003,Network Switches,8517.62,2025-05-22,12,2074.11,EXW,Air,2025-06-18,2025-06-18,10,N,Delivered,1,27,1.0,China,Offshore,0.35,24889.32,2800.0485000000003,33600.582,8711.262000000002,2025-05
PO-1084,SUP-003,GPU Servers,8471.5,2025-05-25,16,16722.67,CIF,Air,2025-07-05,2025-07-24,3,N,Delivered,1,60,0.0,China,Offshore,0.35,267562.72,22575.604499999998,361209.67199999996,93646.95199999999,2025-05
PO-1321,SUP-002,GPU Servers,8471.5,2025-05-25,20,21604.15,FOB,Ocean,2025-06-11,2025-06-25,2,N,Delivered,1,31,0.0,Mexico,Nearshore,0.0,432083.0,21604.15,432083.0,0.0,2025-05
PO-1164,SUP-002,Network Switches,8517.62,2025-05-26,12,3248.19,FOB,Truck,2025-06-09,2025-06-08,1,N,Delivered,1,13,1.0,Mexico,Nearshore,0.0,38978.28,3248.19,38978.28,0.0,2025-05
PO-1145,SUP-003,PDU / MEP Equipment,8537.1,2025-05-27,20,2555.18,CIF,Ocean,2025-06-28,2025-07-03,11,N,Delivered,1,37,0.0,China,Offshore,0.35,51103.6,3449.493,68989.86,17886.260000000002,2025-05
PO-1149,SUP-001,PDU / MEP Equipment,8537.1,2025-05-28,20,3557.73,FOB,Truck,2025-06-07,2025-06-06,1,N,Delivered,1,9,1.0,United States,Domestic,0.0,71154.6,3557.73,71154.6,0.0,2025-05
PO-1020,SUP-001,PDU / MEP Equipment,8537.1,2025-05-29,20,2792.25,FOB,Air,2025-06-12,2025-06-11,0,N,Delivered,1,13,1.0,United States,Domestic,0.0,55845.0,2792.25,55845.0,0.0,2025-05
PO-1254,SUP-003,GPU Servers,8471.5,2025-05-31,20,15267.15,CIF,Air,2025-07-01,2025-06-30,8,N,Delivered,1,30,1.0,China,Offshore,0.35,305343.0,20610.6525,412213.05,106870.04999999999,2025-05
PO-1320,SUP-001,GPU Servers,8471.5,2025-05-31,12,23483.72,DDP,Air,2025-06-13,2025-06-13,0,N,Delivered,1,13,1.0,United States,Domestic,0.0,281804.64,23483.72,281804.64,0.0,2025-05
PO-1307,SUP-003,Network Switches,8517.62,2025-06-06,12,2319.97,EXW,Air,2025-07-16,2025-07-14,7,N,Delivered,1,38,1.0,China,Offshore,0.35,27839.64,3131.9595,37583.513999999996,9743.873999999996,2025-06
PO-1113,SUP-003,Network Switches,8517.62,2025-06-06,40,3292.48,CIF,Air,2025-07-16,2025-07-15,9,N,Delivered,1,39,1.0,China,Offshore,0.35,131699.2,4444.848,177793.91999999998,46094.71999999997,2025-06
PO-1032,SUP-001,GPU Servers,8471.5,2025-06-07,40,18533.13,DDP,Truck,2025-06-16,2025-06-15,0,N,Delivered,1,8,1.0,United States,Domestic,0.0,741325.2000000001,18533.13,741325.2000000001,0.0,2025-06
PO-1070,SUP-002,Network Switches,8517.62,2025-06-10,10,3404.28,FOB,Truck,2025-06-27,2025-06-27,4,N,Delivered,1,17,1.0,Mexico,Nearshore,0.0,34042.8,3404.28,34042.8,0.0,2025-06
PO-1049,SUP-001,PDU / MEP Equipment,8537.1,2025-06-11,16,3635.55,DDP,Air,2025-06-24,2025-06-22,0,N,Delivered,1,11,1.0,United States,Domestic,0.0,58168.8,3635.55,58168.8,0.0,2025-06
PO-1172,SUP-003,GPU Servers,8471.5,2025-06-11,12,13141.71,EXW,Air,2025-07-17,2025-07-15,11,N,Delivered,1,34,1.0,China,Offshore,0.35,157700.52,17741.3085,212895.702,55195.182,2025-06
PO-1174,SUP-003,GPU Servers,8471.5,2025-06-12,40,13367.19,CIF,Ocean,2025-07-10,2025-07-10,3,N,Delivered,1,28,1.0,China,Offshore,0.35,534687.6,18045.7065,721828.26,187140.66000000003,2025-06
PO-1104,SUP-002,GPU Servers,8471.5,2025-06-13,4,21195.46,CIF,Ocean,2025-06-30,2025-07-21,1,N,Delivered,1,38,0.0,Mexico,Nearshore,0.0,84781.84,21195.46,84781.84,0.0,2025-06
PO-1289,SUP-002,Network Switches,8517.62,2025-06-14,40,4146.73,FOB,Ocean,2025-07-05,2025-07-04,4,N,Delivered,1,20,1.0,Mexico,Nearshore,0.0,165869.19999999998,4146.73,165869.19999999998,0.0,2025-06
PO-1122,SUP-002,gpu servers,8471.5,2025-06-16,12,21113.29,FOB,Truck,2025-07-04,2025-07-04,2,N,Delivered,1,18,1.0,Mexico,Nearshore,0.0,253359.48,21113.29,253359.48,0.0,2025-06
PO-1316,SUP-002,Network Switches,8517.62,2025-06-18,8,3634.75,FOB,Truck,2025-07-10,2025-07-10,4,N,Delivered,1,22,1.0,Mexico,Nearshore,0.0,29078.0,3634.75,29078.0,0.0,2025-06
PO-1057,SUP-001,GPU Servers,8471.5,2025-06-22,40,21062.65,DDP,Air,2025-07-03,2025-07-07,1,Y,Delivered,1,15,0.0,United States,Domestic,0.0,842506.0,21062.65,842506.0,0.0,2025-06
PO-1329,SUP-003,Network Switches,8517.62,2025-06-23,5,2684.6,FOB,Ocean,2025-07-23,2025-07-22,6,Y,Delivered,1,29,1.0,China,Offshore,0.35,13423.0,3624.21,18121.05,4698.049999999999,2025-06
PO-1281,SUP-002,Network Switches,8517.62,2025-06-23,8,4217.44,FOB,Ocean,2025-07-12,2025-07-12,4,N,Delivered,1,19,1.0,Mexico,Nearshore,0.0,33739.52,4217.44,33739.52,0.0,2025-06
PO-1256,SUP-003,GPU Servers,8471.5,2025-06-23,25,16939.35,EXW,Air,2025-08-10,2025-08-27,11,N,Delivered,1,65,0.0,China,Offshore,0.35,423483.74999999994,22868.1225,571703.0625,148219.31250000006,2025-06
PO-1277,SUP-001,PDU / MEP Equipment,8537.1,2025-06-24,10,3120.59,FOB,Air,2025-07-04,2025-07-04,0,N,Delivered,1,10,1.0,United States,Domestic,0.0,31205.9,3120.59,31205.9,0.0,2025-06
PO-1326,SUP-002,GPU Servers,8471.5,2025-06-25,16,17329.11,CIF,Truck,2025-07-14,2025-07-30,4,N,Delivered,1,35,0.0,Mexico,Nearshore,0.0,277265.76,17329.11,277265.76,0.0,2025-06
PO-1294,SUP-002,GPU Servers,8471.5,2025-06-25,4,18194.14,FOB,Truck,2025-07-16,2025-07-15,1,N,Delivered,1,20,1.0,Mexico,Nearshore,0.0,72776.56,18194.14,72776.56,0.0,2025-06
PO-1292,SUP-002,GPU Servers,8471.5,2025-06-25,10,17789.15,FOB,Truck,2025-07-08,2025-07-08,3,N,Delivered,1,13,1.0,Mexico,Nearshore,0.0,177891.5,17789.15,177891.5,0.0,2025-06
PO-1244,SUP-002,Network Switches,8517.62,2025-06-26,10,3338.47,FOB,Ocean,2025-07-07,2025-07-06,3,N,Delivered,1,10,1.0,Mexico,Nearshore,0.0,33384.7,3338.47,33384.7,0.0,2025-06
