PO_ID,Supplier_ID,Product_Category,HS_Code,PO_Date,Quantity,Unit_Cost_USD,Incoterm,Freight_Mode,Promised_Delivery_Date,Actual_Delivery_Date,Customs_Clearance_Days,Defect_Flag,PO_Status
PO-1107,SUP-003,GPU Servers,8471.50,2025-01-27,8,15164.08,CIF,Ocean,2025-03-15,2025-03-14,4,N,Delivered
PO-1095,SUP-001,PDU / MEP Equipment,8537.10,2025-01-28,10,2505.54,FOB,Air,2025-02-06,2025-02-19,1,Y,Delivered
PO-1180,SUP-003,Network Switches,8517.62,2025-01-29,25,2458.03,EXW,Ocean,2025-03-03,2025-03-02,12,N,Delivered
PO-1315,SUP-002,Network Switches,8517.62,2025-02-01,2,3382.27,CIF,Truck,2025-02-19,2025-02-17,4,N,Delivered
PO-1053,SUP-003,GPU Servers,8471.50,2025-02-02,5,13695.54,EXW,Ocean,2025-03-10,2025-03-09,7,N,Delivered
PO-1120,SUP-002,GPU Servers,8471.50,2025-02-04,10,19644.04,CIF,Truck,2025-02-18,2025-02-18,2,N,Delivered
PO-1308,SUP-003,PDU / MEP Equipment,8537.10,2025-02-06,25,1788.42,EXW,Ocean,2025-03-06,2025-04-05,10,N,Delivered
PO-1233,SUP-003,GPU Servers,8471.50,2025-02-07,16,13522.0,EXW,Ocean,2025-03-08,2025-03-07,5,N,Delivered
PO-1233,SUP-003,GPU Servers,8471.50,2025-02-07,16,13522.0,EXW,Ocean,2025-03-08,2025-03-07,5,N,Delivered
PO-1210,SUP-003,Network Switches,8517.62,2025-02-07,5,1984.45,CIF,Air,2025-03-12,2025-03-10,8,N,Delivered
PO-1079,SUP-003,GPU Servers,8471.50,2025-02-12,10,13636.96,FOB,Ocean,2025-03-18,2025-03-17,11,N,Delivered
PO-1198,SUP-003,Network Switches,8517.62,2025-02-13,40,2827.33,FOB,Air,2025-03-22,2025-03-22,10,N,Delivered
PO-1097,SUP-003,GPU Servers,8471.50,2025-02-15,2,13876.49,CIF,Ocean,2025-03-25,2025-03-24,4,N,Delivered
PO-1266,SUP-003,Network Switches,8517.62,2025-02-17,25,2165.52,FOB,Ocean,2025-03-18,2025-04-17,6,N,Delivered
PO-1031,SUP-003,Network Switches,8517.62,2025-02-20,10,3380.33,FOB,Air,2025-03-22,2025-03-20,11,N,Delivered
PO-1275,SUP-003,PDU / MEP Equipment,8537.10,2025-02-22,2,2297.91,EXW,Air,2025-03-26,2025-03-25,10,N,Delivered
PO-1118,SUP-002,GPU Servers,8471.50,2025-02-27,10,,fob,Truck,2025-03-17,2025-04-06,4,N,Delivered
PO-1019,SUP-002,GPU Servers,8471.50,2025-03-02,4,21292.19,CIF,Truck,2025-03-15,2025-03-15,2,N,Delivered
PO-1133,SUP-003,Network Switches,8517.62,2025-03-04,10,1953.91,EXW,Ocean,2025-04-04,2025-04-02,8,N,Delivered
PO-1290,SUP-003,PDU / MEP Equipment,8537.10,2025-03-06,4,2104.21,CIF,Ocean,2025-04-09,2025-04-08,7,N,Delivered
PO-1270,SUP-003,Network Switches,8517.62,2025-03-07,5,1958.97,CIF,Air,2025-04-27,2025-05-07,6,N,Delivered
PO-1228,SUP-003,GPU Servers,8471.50,2025-03-07,2,17172.45,FOB,Ocean,2025-04-01,2025-03-30,6,N,Delivered
PO-1112,SUP-003,PDU / MEP Equipment,8537.10,2025-03-09,16,1418.55,FOB,Air,2025-04-09,2025-05-06,4,N,Delivered
PO-1206,SUP-003,PDU / MEP Equipment,8537.10,2025-03-10,8,2332.58,EXW,Ocean,2025-04-06,2025-05-10,8,N,Delivered
PO-1156,SUP-003,PDU / MEP Equipment,8537.10,2025-03-11,2,1969.01,EXW,Ocean,2025-04-17,2025-05-18,3,N,Delivered
PO-1016,SUP-001,GPU Servers,8471.50,2025-03-12,25,22605.4,FOB,Truck,2025-03-22,2025-03-22,0,N,Delivered
PO-1221,SUP-002,Network Switches,8517.62,2025-03-21,25,4992.43,FOB,Ocean,2025-04-04,2025-04-04,3,N,Delivered
PO-1044,SUP-001,PDU / MEP Equipment,8537.10,2025-03-21,40,3193.19,DDP,Air,2025-04-01,2025-04-01,1,N,Delivered
PO-1303,SUP-001,PDU / MEP Equipment,8537.10,2025-03-23,16,3844.46,FOB,Truck,2025-04-01,2025-03-30,1,N,Delivered
PO-1310,SUP-002,GPU Servers,8471.50,2025-03-23,8,16843.09,CIF,Truck,2025-04-03,2025-04-01,1,N,Delivered
PO-1058,SUP-003,PDU / MEP Equipment,8537.10,2025-03-24,8,1408.34,FOB,Ocean,2025-04-29,2025-04-29,12,N,Delivered
PO-1130,SUP-002,Network Switches,8517.62,2025-03-25,25,4969.01,CIF,Ocean,2025-04-15,2025-04-13,2,N,Delivered
PO-1236,SUP-002,GPU Servers,8471.50,2025-03-25,8,18522.99,CIF,Ocean,2025-04-11,2025-04-11,4,N,Delivered
PO-1232,SUP-001,PDU / MEP Equipment,8537.10,2025-03-27,20,4075.82,FOB,Air,2025-04-11,2025-04-10,0,N,Delivered
PO-1004,SUP-003,Network Switches,8517.62,2025-03-27,40,1930.88,FOB,Ocean,2025-05-14,2025-05-14,4,N,Delivered
PO-1237,SUP-003,PDU / MEP Equipment,8537.10,2025-03-27,2,1728.09,EXW,Ocean,2025-05-11,2025-05-10,8,N,Delivered
PO-1123,SUP-001,GPU Servers,8471.50,2025-03-30,16,22944.61,DDP,Air,2025-04-07,2025-04-07,1,N,Delivered
PO-1332,SUP-001,PDU / MEP Equipment,8537.10,2025-03-30,10,3079.09,DDP,air,2025-04-04,2025-04-02,1,N,Delivered
PO-1146,SUP-003,Network Switches,8517.62,2025-04-01,20,2513.43,EXW,Air,2025-05-09,2025-05-28,4,N,Delivered
PO-1136,SUP-003,Network Switches,8517.62,2025-04-02,2,2090.59,FOB,Air,2025-05-01,2025-04-29,11,N,Delivered
PO-1251,SUP-002,GPU Servers,8471.50,2025-04-03,12,,FOB,Ocean,2025-04-26,2025-04-24,3,N,Delivered
PO-1239,SUP-001,PDU / MEP Equipment,8537.10,2025-04-03,8,3995.05,FOB,Air,2025-04-15,2025-04-14,0,N,Delivered
PO-1063,SUP-002,Network Switches,8517.62,2025-04-03,20,4576.34,FOB,Ocean,2025-04-22,2025-04-21,4,N,Delivered
PO-1014,SUP-001,GPU Servers,8471.50,2025-04-03,25,22145.27,FOB,Air,2025-04-13,2025-04-11,0,N,Delivered
PO-1331,SUP-002,GPU Servers,8471.50,2025-04-05,40,20772.96,FOB,Truck,2025-04-21,2025-04-21,2,N,Delivered
PO-1134,SUP-003,PDU / MEP Equipment,8537.10,2025-04-08,16,1743.85,CIF,Ocean,2025-06-01,2025-06-01,10,N,Delivered
PO-1090,SUP-003,GPU Servers,8471.50,2025-04-08,4,17058.01,CIF,Air,2025-05-16,2025-05-14,3,N,Delivered
PO-1082,SUP-002,GPU Servers,8471.50,2025-04-11,20,21378.28,FOB,Ocean,2025-04-25,2025-04-23,3,N,Delivered
PO-1140,SUP-003,GPU Servers,8471.50,2025-04-11,25,15395.05,FOB,Air,2025-05-15,2025-05-14,5,N,Delivered
PO-1064,SUP-002,Network Switches,8517.62,2025-04-11,8,5121.14,CIF,Ocean,2025-04-30,2025-04-29,3,N,Delivered
PO-1117,SUP-001,GPU Servers,8471.50,2025-04-11,12,20401.53,FOB,Air,2025-04-18,2025-04-18,0,N,Delivered
PO-1242,SUP-001,PDU / MEP Equipment,8537.10,2025-04-11,16,2634.42,DDP,Air,2025-04-23,2025-04-22,0,Y,Delivered
PO-1001,SUP-002,Network Switches,8517.62,2025-04-11,40,4357.18,FOB,Ocean,2025-04-28,2025-04-28,2,Y,Delivered
PO-1043,SUP-002,GPU Servers,8471.50,2025-04-11,10,19343.15,FOB,Truck,2025-04-26,2025-04-24,1,N,Delivered
PO-1021,SUP-001,GPU Servers,8471.50,2025-04-11,5,21620.41,DDP,Truck,2025-04-19,2025-04-27,1,N,Delivered
PO-1003,SUP-001,PDU / MEP Equipment,8537.10,2025-04-15,40,3845.73,FOB,Air,2025-04-26,2025-04-25,0,N,Delivered
PO-1282,SUP-003,PDU / MEP Equipment,8537.10,2025-04-18,40,2039.14,FOB,Air,2025-05-20,2025-05-18,8,N,Delivered
PO-1280,SUP-003,PDU / MEP Equipment,8537.10,2025-04-21,5,2014.01,EXW,Ocean,2025-05-30,2025-05-29,4,N,Delivered
PO-1252,SUP-003,Network Switches,8517.62,2025-04-24,8,2488.37,CIF,Ocean,2025-06-06,2025-06-05,10,N,Delivered
PO-1231,SUP-003,PDU / MEP Equipment,8537.10,2025-04-25,5,2439.28,CIF,Air,2025-06-14,2025-07-19,8,N,Delivered
PO-1045,SUP-001,GPU Servers,8471.50,2025-04-25,5,21065.25,DDP,Truck,2025-05-11,2025-05-09,0,N,Delivered
PO-1305,SUP-003,PDU / MEP Equipment,8537.10,2025-04-27,20,2202.37,FOB,Ocean,2025-06-06,2025-06-04,11,N,Delivered
PO-1011,SUP-003,PDU / MEP Equipment,8537.10,2025-05-03,10,1839.63,FOB,Ocean,2025-06-08,2025-07-14,7,N,Delivered
PO-1207,SUP-003,Network Switches,8517.62,2025-05-05,4,2737.61,FOB,Ocean,2025-06-06,2025-07-09,10,N,Delivered
PO-1279,SUP-001,PDU / MEP Equipment,8537.10,2025-05-09,5,3620.19,FOB,Air,2025-05-25,2025-06-08,0,N,Delivered
PO-1309,SUP-001,GPU Servers,8471.50,2025-05-10,5,21052.62,DDP,Air,2025-05-23,2025-05-21,0,N,Delivered
PO-1178,SUP-002,GPU Servers,8471.50,2025-05-11,5,20403.44,CIF,Ocean,2025-05-25,2025-05-23,4,N,Delivered
PO-1311,SUP-003,Network Switches,8517.62,2025-05-11,2,2815.93,CIF,Air,2025-06-14,2025-06-13,9,N,Delivered
PO-1056,SUP-003,PDU / MEP Equipment,8537.10,2025-05-15,40,1673.52,FOB,Air,2025-06-11,2025-06-09,8,N,Delivered
PO-1212,SUP-001,PDU / MEP Equipment,8537.10,2025-05-16,2,3617.49,DDP,Air,2025-05-28,2025-05-26,1,N,Delivered
PO-1171,SUP-002,GPU Servers,8471.50,2025-05-17,40,21269.96,FOB,Ocean,2025-06-06,2025-06-24,1,N,Delivered
PO-1109,SUP-003,PDU / MEP Equipment,8537.10,2025-05-19,4,1429.18,EXW,Ocean,2025-06-14,2025-06-12,3,N,Delivered
PO-1142,SUP-003,GPU Servers,8471.50,2025-05-20,5,16616.89,CIF,Ocean,2025-06-04,2025-06-02,10,N,Delivered
PO-1241,SUP-003,PDU / MEP Equipment,8537.10,2025-05-21,20,1554.99,CIF,Air,2025-06-29,2025-06-28,4,N,Delivered
PO-1155,SUP-003,Network Switches,8517.62,2025-05-22,12,2074.11,EXW,Air,2025-06-18,2025-06-18,10,N,Delivered
PO-1084,SUP-003,GPU Servers,8471.50,2025-05-25,16,16722.67,CIF,Air,2025-07-05,2025-07-24,3,N,Delivered
PO-1321,SUP-002,GPU Servers,8471.50,2025-05-25,20,21604.15,FOB,Ocean,2025-06-11,2025-06-25,2,N,Delivered
PO-1164,SUP-002,Network Switches,8517.62,2025-05-26,12,3248.19,FOB,Truck,2025-06-09,2025-06-08,1,N,Delivered
PO-1145,SUP-003,PDU / MEP Equipment,8537.10,2025-05-27,20,2555.18,CIF,Ocean,2025-06-28,2025-07-03,11,N,Delivered
PO-1149,SUP-001,PDU / MEP Equipment,8537.10,2025-05-28,20,3557.73,FOB,Truck,2025-06-07,2025-06-06,1,N,Delivered
PO-1020,SUP-001,PDU / MEP Equipment,8537.10,2025-05-29,20,2792.25,FOB,Air,2025-06-12,2025-06-11,0,N,Delivered
PO-1254,SUP-003,GPU Servers,8471.50,2025-05-31,20,15267.15,CIF,Air,2025-07-01,2025-06-30,8,N,Delivered
PO-1320,SUP-001,GPU Servers,8471.50,2025-05-31,12,23483.72,DDP,Air,2025-06-13,2025-06-13,0,N,Delivered
PO-1307,SUP-003,Network Switches,8517.62,2025-06-06,12,2319.97,EXW,Air,2025-07-16,2025-07-14,7,N,Delivered
PO-1113,SUP-003,Network Switches,8517.62,2025-06-06,40,3292.48,CIF,Air,2025-07-16,2025-07-15,9,N,Delivered
PO-1032,SUP-001,GPU Servers,8471.50,2025-06-07,40,18533.13,DDP,Truck,2025-06-16,2025-06-15,0,N,Delivered
PO-1070,SUP-002,Network Switches,8517.62,2025-06-10,10,3404.28,FOB,Truck,2025-06-27,2025-06-27,4,N,Delivered
PO-1049,SUP-001,PDU / MEP Equipment,8537.10,2025-06-11,16,3635.55,DDP,Air,2025-06-24,2025-06-22,0,N,Delivered
PO-1172,SUP-003,GPU Servers,8471.50,2025-06-11,12,13141.71,EXW,Air,2025-07-17,2025-07-15,11,N,Delivered
PO-1174,SUP-003,GPU Servers,8471.50,2025-06-12,40,13367.19,CIF,Ocean,2025-07-10,2025-07-10,3,N,Delivered
PO-1104,SUP-002,GPU Servers,8471.50,2025-06-13,4,21195.46,CIF,Ocean,2025-06-30,2025-07-21,1,N,Delivered
PO-1289,SUP-002,Network Switches,8517.62,2025-06-14,40,4146.73,FOB,Ocean,2025-07-05,2025-07-04,4,N,Delivered
PO-1122,SUP-002,gpu servers,8471.50,2025-06-16,12,21113.29,FOB,Truck,2025-07-04,2025-07-04,2,N,Delivered
PO-1316,SUP-002,Network Switches,8517.62,2025-06-18,8,3634.75,FOB,Truck,2025-07-10,2025-07-10,4,N,Delivered
PO-1057,SUP-001,GPU Servers,8471.50,2025-06-22,40,21062.65,DDP,Air,2025-07-03,2025-07-07,1,Y,Delivered
PO-1329,SUP-003,Network Switches,8517.62,2025-06-23,5,2684.6,FOB,Ocean,2025-07-23,2025-07-22,6,Y,Delivered
PO-1281,SUP-002,Network Switches,8517.62,2025-06-23,8,4217.44,FOB,Ocean,2025-07-12,2025-07-12,4,N,Delivered
PO-1256,SUP-003,GPU Servers,8471.50,2025-06-23,25,16939.35,EXW,Air,2025-08-10,2025-08-27,11,N,Delivered
PO-1277,SUP-001,PDU / MEP Equipment,8537.10,2025-06-24,10,3120.59,FOB,Air,2025-07-04,2025-07-04,0,N,Delivered
PO-1326,SUP-002,GPU Servers,8471.50,2025-06-25,16,17329.11,CIF,Truck,2025-07-14,2025-07-30,4,N,Delivered
PO-1294,SUP-002,GPU Servers,8471.50,2025-06-25,4,18194.14,FOB,Truck,2025-07-16,2025-07-15,1,N,Delivered
PO-1292,SUP-002,GPU Servers,8471.50,2025-06-25,10,17789.15,FOB,Truck,2025-07-08,2025-07-08,3,N,Delivered
PO-1244,SUP-002,Network Switches,8517.62,2025-06-26,10,3338.47,FOB,Ocean,2025-07-07,2025-07-06,3,N,Delivered
PO-1265,SUP-001,PDU / MEP Equipment,8537.10,2025-06-27,20,2527.41,FOB,Truck,2025-07-11,2025-07-11,1,N,Delivered
PO-1269,SUP-002,GPU Servers,8471.50,2025-06-27,10,18239.91,CIF,Truck,2025-07-10,2025-07-10,2,N,Delivered
PO-1262,SUP-002,GPU Servers,8471.50,2025-07-02,10,17218.53,CIF,Ocean,2025-07-21,2025-07-20,1,N,Delivered
PO-1262,SUP-002,GPU Servers,8471.50,2025-07-02,10,17218.53,CIF,Ocean,2025-07-21,2025-07-20,1,N,Delivered
PO-1041,SUP-002,GPU Servers,8471.50,2025-07-03,16,18844.4,FOB,Ocean,2025-07-26,2025-07-25,3,N,Delivered
PO-1041,SUP-002,GPU Servers,8471.50,2025-07-03,16,18844.4,FOB,Ocean,2025-07-26,2025-07-25,3,N,Delivered
PO-1291,SUP-003,GPU Servers,8471.50,2025-07-04,5,16378.11,EXW,Air,2025-07-30,2025-07-30,8,N,Delivered
PO-1126,SUP-001,PDU / MEP Equipment,8537.10,2025-07-04,8,3847.44,DDP,Truck,2025-07-17,2025-07-17,1,N,Delivered
PO-1317,SUP-002,Network Switches,8517.62,2025-07-05,12,4531.16,FOB,Ocean,2025-07-20,2025-07-19,2,N,Delivered
PO-1067,SUP-001,PDU / MEP Equipment,8537.10,2025-07-08,25,,FOB,Truck,2025-07-19,2025-07-19,1,N,Delivered
PO-1323,SUP-002,Network Switches,8517.62,2025-07-11,8,3480.59,FOB,Ocean,2025-07-26,2025-07-26,2,N,Delivered
PO-1333,SUP-001,PDU / MEP Equipment,8537.10,2025-07-14,12,,FOB,Air,2025-07-22,2025-07-21,1,N,Delivered
PO-1135,SUP-003,GPU Servers,8471.50,2025-07-17,25,15636.0,EXW,Air,2025-08-03,2025-08-02,4,N,Delivered
PO-1080,SUP-002,Network Switches,8517.62,2025-07-17,20,5067.13,FOB,Truck,2025-07-31,2025-07-31,3,N,Delivered
PO-1066,SUP-001,GPU Servers,8471.50,2025-07-21,10,20209.04,DDP,Truck,2025-07-27,2025-07-26,0,N,Delivered
PO-1144,SUP-002,GPU Servers,8471.50,2025-07-23,20,16341.96,CIF,Ocean,2025-08-06,2025-08-06,4,N,Delivered
PO-1299,SUP-002,GPU Servers,8471.50,2025-07-25,8,17796.53,CIF,Truck,2025-08-10,2025-08-10,2,N,Delivered
PO-1074,SUP-003,GPU Servers,8471.50,2025-07-27,8,15840.94,FOB,Ocean,2025-09-11,2025-09-11,4,N,Delivered
PO-1276,SUP-001,PDU / MEP Equipment,8537.10,2025-08-01,10,2903.9,DDP,Truck,2025-08-11,2025-08-16,1,N,Delivered
PO-1108,SUP-003,GPU Servers,8471.50,2025-08-06,12,14147.71,CIF,Ocean,2025-09-14,2025-09-12,7,N,Delivered
PO-1072,SUP-002,Network Switches,8517.62,2025-08-06,4,3599.04,FOB,Truck,2025-08-28,2025-08-27,2,N,Delivered
PO-1175,SUP-001,PDU / MEP Equipment,8537.10,2025-08-09,40,3523.8,DDP,Air,2025-08-23,2025-08-22,1,N,Delivered
PO-1337,SUP-001,gpu servers,8471.50,2025-08-10,2,22245.43,DDP,Truck,2025-08-15,2025-08-13,0,N,Delivered
PO-1015,SUP-001,PDU / MEP Equipment,8537.10,2025-08-10,10,2524.0,DDP,Air,2025-08-22,2025-08-29,1,N,Delivered
PO-1222,SUP-003,PDU / MEP Equipment,8537.10,2025-08-10,20,1732.86,CIF,Ocean,2025-10-02,2025-10-11,9,N,Delivered
PO-1008,SUP-001,PDU / MEP Equipment,8537.10,2025-08-11,20,3020.7,FOB,Truck,2025-08-23,2025-08-22,1,N,Delivered
PO-1278,SUP-003,PDU / MEP Equipment,8537.10,2025-08-12,40,1955.04,CIF,Air,2025-09-01,2025-08-30,3,N,Delivered
PO-1215,SUP-002,Network Switches,8517.62,2025-08-16,5,4924.06,CIF,Truck,2025-09-04,2025-09-02,3,N,Delivered
PO-1205,SUP-003,Network Switches,8517.62,2025-08-17,25,3320.87,CIF,Air,2025-09-07,2025-09-14,4,N,Delivered
PO-1209,SUP-001,GPU Servers,8471.50,2025-08-17,16,21455.75,FOB,Truck,2025-08-28,2025-08-26,0,N,Delivered
PO-1007,SUP-002,GPU Servers,8471.50,2025-08-18,8,17227.07,CIF,Ocean,2025-09-07,2025-09-05,3,N,Delivered
PO-1225,SUP-002,Network Switches,8517.62,2025-08-20,10,3263.24,CIF,Ocean,2025-09-04,2025-09-02,2,N,Delivered
PO-1102,SUP-002,GPU Servers,8471.50,2025-08-20,20,17685.13,CIF,Ocean,2025-09-06,2025-09-06,1,N,Delivered
PO-1036,SUP-003,PDU / MEP Equipment,8537.10,2025-08-22,16,2435.72,EXW,Air,2025-09-17,2025-09-15,8,N,Delivered
PO-1168,SUP-003,GPU Servers,8471.50,2025-08-23,5,14999.61,FOB,Ocean,2025-10-10,2025-10-08,8,N,Delivered
PO-1327,SUP-003,GPU Servers,8471.50,2025-08-24,2,13585.55,FOB,Air,2025-09-23,2025-09-21,4,N,Delivered
PO-1017,SUP-003,PDU / MEP Equipment,8537.10,2025-08-28,12,1928.18,EXW,Air,2025-09-28,2025-09-26,10,Y,Delivered
PO-1257,SUP-002,GPU Servers,8471.50,2025-08-31,5,21517.32,CIF,Ocean,2025-09-12,2025-09-12,1,N,Delivered
PO-1203,SUP-003,GPU Servers,8471.50,2025-09-04,20,17535.87,FOB,Air,2025-10-10,2025-10-08,4,N,Delivered
PO-1216,SUP-002,GPU Servers,8471.50,2025-09-05,25,16613.26,CIF,Ocean,2025-09-23,2025-09-21,1,N,Delivered
PO-1324,SUP-002,Network Switches,8517.62,2025-09-06,5,4306.39,FOB,Ocean,2025-09-24,2025-09-23,4,N,Delivered
PO-1143,SUP-001,PDU / MEP Equipment,8537.10,2025-09-06,10,2714.58,DDP,Truck,2025-09-18,2025-10-08,0,N,Delivered
PO-1086,SUP-003,PDU / MEP Equipment,8537.10,2025-09-07,16,1511.72,CIF,Air,2025-09-26,2025-09-24,9,Y,Delivered
PO-1092,SUP-001,PDU / MEP Equipment,8537.10,2025-09-09,5,2507.09,DDP,Air,2025-09-18,2025-09-18,1,N,Delivered
PO-1214,SUP-002,Network Switches,8517.62,2025-09-09,40,3700.0,FOB,Truck,2025-09-26,2025-09-24,1,Y,Delivered
PO-1243,SUP-003,GPU Servers,8471.50,2025-09-11,16,16024.16,FOB,Air,2025-10-19,2025-10-17,7,N,Delivered
PO-1295,SUP-001,GPU Servers,8471.50,2025-09-13,16,24419.09,FOB,Truck,2025-09-30,2025-09-29,1,N,Delivered
PO-1191,SUP-002,Network Switches,8517.62,2025-09-15,8,3790.2,CIF,Ocean,2025-10-11,2025-10-10,2,N,Delivered
PO-1213,SUP-002,Network Switches,8517.62,2025-09-16,10,4325.07,FOB,Truck,2025-09-30,2025-09-28,4,N,Delivered
PO-1325,SUP-001,GPU Servers,8471.50,2025-09-18,10,23550.97,FOB,Truck,2025-09-29,2025-09-28,1,N,Delivered
PO-1173,SUP-003,PDU / MEP Equipment,8537.10,2025-09-19,10,1782.77,FOB,Ocean,2025-10-17,2025-10-17,11,N,Delivered
PO-1069,SUP-001,GPU Servers,8471.50,2025-09-21,4,20171.88,DDP,Air,2025-10-10,2025-10-26,0,N,Delivered
PO-1131,SUP-001,GPU Servers,8471.50,2025-09-25,5,20527.97,FOB,Truck,2025-10-08,2025-10-08,1,N,Delivered
PO-1200,SUP-001,PDU / MEP Equipment,8537.10,2025-09-26,12,2338.25,FOB,Truck,2025-10-08,2025-10-06,1,N,Delivered
PO-1202,SUP-003,PDU / MEP Equipment,8537.10,2025-09-30,10,1501.81,FOB,Ocean,2025-10-29,2025-10-28,7,N,Delivered
PO-1006,SUP-002,Network Switches,8517.62,2025-10-06,4,3481.83,FOB,Truck,2025-10-22,2025-10-22,2,N,Delivered
PO-1274,SUP-003,Network Switches,8517.62,2025-10-07,12,3109.3,EXW,Air,2025-11-08,2025-11-07,8,N,Delivered
PO-1334,SUP-002,Network Switches,8517.62,2025-10-08,4,3587.65,CIF,Ocean,2025-10-26,2025-10-24,2,N,Delivered
PO-1194,SUP-001,PDU / MEP Equipment,8537.10,2025-10-11,40,2309.36,FOB,Truck,2025-10-22,2025-10-22,0,N,Delivered
PO-1000,SUP-003,PDU / MEP Equipment,8537.10,2025-10-14,4,2278.39,CIF,Ocean,2025-11-21,2025-11-19,12,N,Delivered
PO-1283,SUP-003,PDU / MEP Equipment,8537.10,2025-10-16,25,1690.96,CIF,Air,2025-11-10,2025-11-08,3,N,Delivered
PO-1183,SUP-001,PDU / MEP Equipment,8537.10,2025-10-19,40,3015.09,FOB,Air,2025-10-30,2025-10-30,1,N,Delivered
PO-1235,SUP-001,GPU Servers,8471.50,2025-10-20,2,23552.71,DDP,truck,2025-11-05,2025-11-05,0,N,Delivered
PO-1330,SUP-002,GPU Servers,8471.50,2025-10-21,2,18397.69,CIF,Truck,2025-11-11,2025-11-09,1,N,Delivered
PO-1181,SUP-002,Network Switches,8517.62,2025-10-21,20,4730.47,FOB,Truck,2025-11-08,2025-11-08,4,N,Delivered
PO-1196,SUP-002,Network Switches,8517.62,2025-10-27,2,3836.92,FOB,Truck,2025-11-17,2025-11-17,1,N,Delivered
PO-1093,SUP-003,Network Switches,8517.62,2025-10-27,4,3247.83,FOB,Air,2025-12-02,2025-12-14,9,N,Delivered
PO-1075,SUP-001,PDU / MEP Equipment,8537.10,2025-10-28,10,3217.97,DDP,Air,2025-11-04,2025-11-03,1,N,Delivered
PO-1005,SUP-001,GPU Servers,8471.50,2025-10-29,4,24319.46,DDP,Air,2025-11-12,2025-11-20,0,N,Delivered
PO-1193,SUP-003,PDU / MEP Equipment,8537.10,2025-10-30,4,2347.54,FOB,Air,2025-12-10,2025-12-10,10,N,Delivered
PO-1091,SUP-001,GPU Servers,8471.50,2025-11-02,5,23179.25,DDP,Truck,2025-11-14,2025-11-13,0,N,Delivered
PO-1160,SUP-002,Network Switches,8517.62,2025-11-02,12,4433.7,CIF,Ocean,2025-11-26,2025-11-24,4,N,Delivered
PO-1114,SUP-003,GPU Servers,8471.50,2025-11-03,16,17425.38,CIF,ocean,2025-12-11,2025-12-11,11,N,Delivered
PO-1099,SUP-001,PDU / MEP Equipment,8537.10,2025-11-04,4,3618.33,FOB,Truck,2025-11-18,2025-11-17,0,N,Delivered
PO-1313,SUP-002,Network Switches,8517.62,2025-11-04,20,4110.39,CIF,ocean,2025-11-15,2025-11-15,2,N,Delivered
PO-1176,SUP-002,GPU Servers,8471.50,2025-11-06,2,20316.4,CIF,Ocean,2025-11-27,2025-11-27,4,N,Delivered
PO-1029,SUP-003,GPU Servers,8471.50,2025-11-08,5,15404.94,EXW,Ocean,2025-12-21,2025-12-29,7,N,Delivered
PO-1040,SUP-002,Network Switches,8517.62,2025-11-09,16,4963.15,CIF,Truck,2025-11-30,2025-11-30,2,N,Delivered
PO-1284,SUP-003,GPU Servers,8471.50,2025-11-10,25,12896.34,FOB,Air,2025-12-07,2025-12-07,3,N,Delivered
PO-1094,SUP-003,Network Switches,8517.62,2025-11-11,20,1907.59,FOB,Air,2025-12-17,2025-12-16,12,N,Delivered
PO-1103,SUP-001,GPU Servers,8471.50,2025-11-13,4,19963.94,FOB,Air,2025-11-22,2025-11-26,1,N,Delivered
